,,,DISTRICTWISE RAINFALL DISTRIBUTION,,,,,,,
S.No.,MET.,SUBDIVISION/ UT,DAY :,22.02.2026,TO,22.02.2026,PERIOD :,01.01.2026,TO,22.02.2026
,STATE/DISTRICT (NAME),,ACTUAL,NORMAL,% DEP.,CAT.,ACTUAL,NORMAL,% DEP.,CAT.
,,,(mm),(mm),,,(mm),(mm),,
19,KHURDA,,0,0.2,-100%,NR,0,21.6,-100%,NR
20,KORAPUT,,0,0.3,-100%,NR,0,9.9,-100%,NR
21,MALKANGIRI,,0,0,-100%,NR,0,6,-100%,NR
22,MAYURBHANJ,,0,0.3,-100%,NR,0,29.4,-100%,NR
23,NAWAPARA,,0,0.2,-100%,NR,0,17.7,-100%,NR
24,NAWARANGPUR,,0,0.4,-100%,NR,0,16,-100%,NR
25,NAYAGARH,,0,0.2,-100%,NR,0,28.8,-100%,NR
26,PURI,,0,0.3,-100%,NR,0,22.3,-100%,NR
27,RAYAGADA,,0,0.1,-100%,NR,0,20.9,-100%,NR
28,SAMBALPUR,,0,0.2,-100%,NR,0,24.8,-100%,NR
29,SONEPUR,,0,0,-100%,NR,0,18.5,-100%,NR
30,SUNDARGARH,,0,0.3,-100%,NR,0,24.7,-100%,NR
8,JHARKHAND,,0,0.2,-100%,NR,0,22.3,-100%,NR
1,BOKARO,,0,0.4,-100%,NR,0,20.2,-100%,NR
2,CHATRA,,0,0.2,-100%,NR,0,19.6,-100%,NR
3,DEOGHAR,,0,0.7,-100%,NR,0,16.9,-100%,NR
4,DHANBAD,,0,0.4,-100%,NR,0,23.5,-100%,NR
5,DUMKA,,0,0.3,-100%,NR,0,17,-100%,NR
6,EAST SINGBHUM,,0,0.1,-100%,NR,0,22.8,-100%,NR
7,GARHWA,,0,0.2,-100%,NR,0,15.9,-100%,NR
8,GIRIDIH,,0,0.4,-100%,NR,0,17,-100%,NR
9,GODDA,,0,0.3,-100%,NR,0,15.8,-100%,NR
10,GUMLA,,0,0.1,-100%,NR,0,30.7,-100%,NR
11,HAZARIBAG,,0,0.3,-100%,NR,0,23.7,-100%,NR
12,JAMTARA,,0,0.3,-100%,NR,0,19.7,-100%,NR
13,KHUNTI,,0,0,-100%,NR,0,26.5,-100%,NR
14,KODERMA,,0,0.4,-100%,NR,0,19.4,-100%,NR
15,LATEHAR,,0,0,-100%,NR,0,23.5,-100%,NR
16,LOHARDAGA,,0,0.2,-100%,NR,0,31,-100%,NR
17,PAKUR,,0,0.2,-100%,NR,0,15.5,-100%,NR
18,PALAMU,,0,0.2,-100%,NR,0,18.2,-100%,NR
19,RAMGARH,,0,0.3,-100%,NR,0,25.2,-100%,NR
20,RANCHI,,0,0.3,-100%,NR,0,25.8,-100%,NR
21,SAHIBGANJ,,0,0.2,-100%,NR,0,14.1,-100%,NR
22,SERAIKELA-KHARSAWAN,,0,0.2,-100%,NR,0,24,-100%,NR
23,SIMDEGA,,0,0.2,-100%,NR,0,27.3,-100%,NR
24,WEST SINGBHUM,,0,0.2,-100%,NR,0,25.4,-100%,NR
9,BIHAR,,0,0.2,-100%,NR,0,18,-99%,LD
1,ARARIA,,0,0.1,-100%,NR,0,13.7,-100%,NR
2,ARWAL,,0,0.3,-100%,NR,0,13.4,-100%,NR
3,AURANGABAD,,0,0.4,-100%,NR,0,25.7,-100%,NR
4,BANKA,,0,0.4,-100%,NR,0,17.1,-100%,NR
